Numéro;Matière (s) Active (s);Famille Chimique;Classe;Culture;indice GUS final;Coefficient d'adsorption (Koc);hydrolyse half-life (days);Solubilité (mg/L);"DT50 champ
(jours)";Hydrolyse à pH 7;"CL50 poisson
(mg.L-1)";CI50 daphnie (mg.L-1);CE50 algues (mg.L-1);CL50 min;DL50 Derm. Mg/kg;DL50 Oral Mg/kg;DJA mg/kg/jour;Classem  OMS;DAR (jour);Numéro Homologation;Nom Commercial;Formulation;Tableau Tox.;Teneur;Type de traitement;Dose PC
112;Fénarimol;Pyrimidine;Fongicide;Arboriculture, fraisier, vigne, melon,tomate et gazon;3,229;734,000;703,00;13,7000;74,0;stable;4,1;6,8;1,48;1,48;> 2000;2500;0,01;III;14 j;A12-8-029;RUBIGAN 12 EC;EC;C;120 g/l;Parties aériennes;35 cc/hl
113;Fenbuconazole;Triazole;Fongicide;Cucurbitacées et tomate;0,773;4425,000;152,00;2,4700;52,0;très stable;0,68;2,2;0,29;0,29;> 5000;2000;0,03;;20 j;D03-9-006;INDAR 5 EC;EC;C;50 g/l;Parties aériennes;200 cc/hl
114;Fenbutatin oxyde;Organostannane;Acaricide;Aubergine et tomate;-2,964;139404,000;389,00;0,0150;109,0;très stable;0,0104;0,02;12;0,0104;> 1000;2631;0,025;III;3 j;D06-8-001;TORQUE S;EC;C;500 g/l;Parties aériennes;90 cc/hl
115;Fenhexamid;Hydroxyanilide;Fongicide;Fraisier, haricot, pecher, tomate et vigne;-0,420;733,500;0,43;24,0000;;très stable;1,34;0,101;2,34;0,101;> 5000;5000;0,2;III;7 j;E01-1-005;TELDOR 50 WG;WG;C;500 g/kg;Parties aériennes;150 g/hl
116;Fenoxaprop-P-éthyl;Aryloxyacide;Herbicide;Céréales: Blés;0,020;11354,000;23,20;0,7000;1,3;instable;0,19;0,556;0,3;0,19;> 2000;3150;0,01;;10;E07-9-033;CORDON;EC;C;69 g/l;Désherbage;1 l/ha
117;Fenoxycarbe;Carbamate;Insecticide;;0,140;1816,000;1,55;7,9000;24,3;très stable;1,6;0,0004;1,1;0,0004;> 2000;> 10000;0,05;III;;;;;;;;
118;Fenpropathrine;Pyréthrinoïde;Insecticide, acaricide;;-0,820;35660,000;31,00;0,3300;28,0;très stable;0,0023;0,00053;2;0,00053;2000;66;0,01;II;21;;;;;;;
119;Fenpropimorphe;Morpholine;Fongicide;;0,460;4382,000;19,60;4,3200;23,2;très stable;1,74;2,24;0,327;0,327;> 4000;1467;0,003;III;21;;;;;;;
120;Fenpyroximate;Pyrazole;Acaricide;;-1,000;52067,000;24,50;0,0230;11,9;très stable;0,001;0,003;10;0,001;1000;70,6;0,03;II;42;;;;;;;
121;Fenthion ;Organophosphoré;Insecticide;Agrumes, betterave à sucre, olivier, poirier et pommier;1,260;1500,000;34,00;4,2000;22,0;stable;0,8;0,0057;1,79;0,0057;800;250;0,007;II;15 j;827;LEBAYCID 50 EC;EC;A;500 g/l;Parties aériennes;0,3-0,5 l/ha
122;Fentine;Organostannane;Fongicide;Betterave à sucre et pomme de terre;0,720;3104,000;26,00;1,0000;75,0;stable;0,05;0,0165;0,0000024;0,0000024;450;125;0,0005;II;30 j;D06-8-002;>ERTIN 4 L;EC;C;480 g/l;Parties aériennes;200 cc/hl
123;Fenvalérate;Pyréthrinoïde;Acaricide;;0,520;5273,000;77,00;0,0010;40,0;très stable;0,0036;0,00003;50;0,00003;2500;450;0,02;II;;;;;;;;
124;Fipronil;Pyrazole;Insecticide;;2,450;727,000;142,00;3,7800;64,7;instable;0,0852;0,0129;0,068;0,0129;97;0,0002;0,0002;II;;;;;;;;
125;Flocoumafène;Antivitamine K;Raticide;Locaux de stockage;2,040;1345,000;447,00;1,1000;217,0;très stable;0,091;0,66;1,1;0,091;< 3;0,25;0,0005;;-;E07-5-008;STORM BAIT BLOCK;BB;A;0,005%;Dératisation;Appât empoisonné
126;Florasulam;Sulfonamide;Herbicide;Céréales;0,720;20,370;1,85;6360,0000;8,5;très stable;100;292;0,00118;0,00118;> 2000;> 5000;0,05;III;;;;;;;;
127;Fluazifop-P-butyl;Aryloxyacide;Herbicide;Betterave à sucre, maraichage, agrume arbre fruitier et légumineuse;0,000;5800,000;78,00;1,1000;19,3;très stable;1,31;1;1,8;1;> 2000;3680;0,01;III;28 j;E08-4-002;FUSILADE FORTE;EC;C;150 g/l;Désherbage;0,75 l/ha
128;Fluazinam;Pyridinamine;Fongicide;Pomme de terre;1,320;1958,000;72,50;0,1350;16,4;instable;0,036;0,22;0,16;0,036;> 2000;5000;0,01;;7 j;E11-9-085;NANDO;SC;C;500 g/l;Parties aériennes;0,4 l/ha
129;Flubendiamide;;Insecticide;Pommier et tomate;3,980;334,000;500,00;0,0290;;;;;;;sans effet;> 5000;;;14 j;E12-9-002;TAKUMI 20 WG;WG;C;200 g/kg;Parties aériennes;25 g/hl
130;Flucarbazone sodium;;Herbicide;Céréales: Blés;3,320;20,000;17,00;44000,0000;;;;;;;> 500;> 5000;0,01;;60 j;E11-7-052;EVEREST 70 WG;WG;C;70%;Désherbage;43 g/ha + Adjuvant- Herbicides
131;Fludioxonil;Pyrrole;Fongicide;Agrumes;-2,670;132100,000;239,00;1,8000;18,8;très stable;0,23;0,4;0,092;0,092;> 2000;> 5000;0,033;III;;;;;;;;
132;Flufénoxuron;Benzoylurée;Insecticide- Acaricide;Agrumes, haricot vert et pommier;-3,140;486092,000;72,50;0,0043;42,0;très stable;0,0049;0,00004;0,64;0,00004;> 2000;> 3000;0,01;III;45 j;D03-6-002;CASCADE 100 DC;DC;C;100 g/l;Parties aériennes;"15 cc/hl + 1 l/ha
CITROLE BM"
133;Flufenzine;;Acaricide;Pommier;2,464;476,000;73,00;0,2300;;;;;;;> 2000;> 3000;;III;45 j;E01-2-002;FLUMITE 200;EC;C;200 g/l;Parties aériennes;50 cc/hl
134;Flumetsulam;;Herbicide;Céréales d'automne;4,220;28,000;45,00;5650,0000;;;;;;;> 2000;> 5000;;;-;E01-0-002;DERBY 175 SC;SC;C;100 g/l;Désherbage;50 cc/ha
135;Fluquinconazole;Triazole;Fongicide;;2,690;829,000;21,90;1,1500;175,0;instable;1,34;5;0,014;0,014;2697;112;0,005;;;;;;;;;
136;Fluopicolide;Benzamide ;Fongicide;Courgette et melon;3,630;321,100;271,00;2,8000;333,0;stable;;;;;> 2500;> 2500;0,29;;;;;;;;;
137;Fluopyram;;;Céréales;3,870;278,900;309,00;16,0000;;;;;;;> 2000;> 2000;0,01;;;;;;;;;
138;Flusilazole;Triazole;Fongicide;Pommier et vigne;2,050;1664,000;427,00;41,9000;94,0;stable;1,2;3,4;6,4;1,2;> 2000;1100;0,001;III;30 j;D11-6-002;OLYMP 10 EW;EW;C;100 g/l;Parties aériennes;30 cc/hl
139;Flutriafol;Triazole;Fongicide;Betterave à sucre et céréales;5,400;205,000;1587,00;95,0000;1000,0;stable;33;67;1,9;1,9;> 2000;1140;0,01;III;50 j;D08-1-002;IMPACT RM;SC;C;117,5 g/l;Parties aériennes;0,25 l/ha
140;Folpel;Phthalimide;Fongicide;Tomate et vigne;1,020;304,000;0,05;0,8000;3,0;instable;0,098;0,68;10;0,098;> 4500;> 9000;0,1;IV;28 j;D12-8-008;FOLTAX 50 WP;WP;C;50%;Parties aériennes;250 g/hl
141;Formothion;Organothiophosphate;Insecticide;;3,070;21,000;14,00;2600,0000;14,0;instable;38,3;16,1;42,3;16,1;> 1000;365;0,2;II;21j;;;;;;;
142;Fosthiazate;Organophosphoré;Nématicide;Bananier;3,840;59,000;53,00;9000,0000;13,0;très stable;114;0,282;4,51;0,282;> 2400;73;0,004;;70 j;E12-7-003;NEMATHORIN 10 G;GR;A;10%;Traitement des sols;20 g/Pied
143;Glufosinate Ammonium;Acide aminé;Herbicide;Agrumes, arbre fruitier, olivier et canne à sucre;1,060;600,000;7,40;500000,0000;23,0;très stable;710;668;5;5;> 4000;2000;0,02;III;-;D04-3-003;BASTA F1;SC;C;150 g/l;Désherbage;3 l/ha
144;Glyphosate;Acide aminé;Herbicide;Agrumes, arbre fruitier, vigne fève et;-0,250;16331,000;15,00;10500,0000;31,5;très stable;38;40;15;15;> 5000;4320;0,05;III;-;F06-0-031;GLYFO TDI;SL;C;360 g/l;Parties aériennes;3 l/ha
145;Guazatine;Guanidine;Fongicide;Agrumes: Fruits;-0,190;14152,000;18,00;6000000,0000;600,0;stable;0,42;0,15;13,5;0,15;1176;360;0,03;II;NR;B09-8-002;KENOPEL;EC;C;200 g/l;"Traitement de post
récolte";1000 ppm/t
146;Haloxyfop-R-méthyl ester;Aryloxyacide;Herbicide;Betterave à sucre;0,722;5497,960;0,50;7,9000;1,0;instable;1,18;4,64;;1,18;> 2000;300;0,0003;II;14;D01-4-002;GALLANT >ER;EC;C;100 g/l;Désherbage;0,5 l/ha
147;Hepténophos;Organophosphoré;Insecticide;;0,260;163,000;1,40;2200,0000;1,4;instable;0,056;0,0022;35;0,0022;2925;95;0,003;1b;10;;;;;;;
148;Hexaconazole;Triazole;Fongicide;Maraichage, vigne et arboriculture;2,050;1040,000;;18,0000;225,0;stable;5,94;2,9;1,7;1,7;> 2000;2189;0,005;III;15 j;B12-7-005;ANVIL 5 SC;SC;C;50 g/l;Parties aériennes;0,8 l/ha
149;Hexaflumuron;Benzoylurée;Insecticide;;-0,030;10391,000;57,00;0,0270;170,0;stable;100;0,0001;3,2;0,0001;> 5000;> 5000;0,005;III;;;;;;;;
150;Hexythiazox;Thiazolidinone;Acaricide;Agrumes, arbre fruitier et vigne;0,030;9455,000;23,70;0,1000;19,0;très stable;3,2;0,72;250;0,72;> 5000;> 5000;0,03;III;40 j;E11-7-038;DIABLO;WP;C;10%;Parties aériennes;50 g/hl
151;Hydrazide matéique;Pyridazine;Régulateur de croissance;;-0,706;45,150;;110000,0000;5,8;très stable;1000;1000;100;100;> 5000;5000;0,3;IV;;;;;;;;
152;Hyméxazol;Isoxazolone;Fongicide;Poivron, melon, pastèque et tomate;2,630;56,500;14,80;65100,0000;5,6;stable;165;28;32;28;> 2000;4678;;III;NR;D01-6-001;TACHIGAREN 30 L;SL;C;300 g/l;Traitement des sols;"200 cc/hl; 1-2 l/ha par injection (goutte à goutte)"
153;Imazalil;Imidazole;Fongicide;Agrumes: Fruits et tomate;0,610;4753,000;76,30;184,0000;5,0;très stable;1,48;3,5;0,87;0,87;4200;227;0,03;II;NR;E02-9-009;FRUITFOG-I;FD;C;500 g/l;"Traitement de post
récolte";600 g/25 t
154;Imazaméthabenz-méthyl;Imidazolinone;Herbicide;;4,110;35,000;47,00;1114,0000;47,0;très stable;280;220;127;127;> 2000;> 5000;0,06;III;45;;;;;;;
155;Imazapyr;Imidazolinone;Herbicide;;1,980;125,000;11,00;9740,0000;11,0;stable;100;100;7,1;71;> 2000;> 5000;;IV;;;;;;;;
156;Imidaclopride;Néonicotinoide;Insecticide;Agrumes, arboriculture, maraichage;3,740;225,000;187,00;610,0000;174,0;très stable;211;32;10;10;> 5000;450;0,057;II;21 j;E11-4-011;IMAXI 200 SL;SL;C;200 g/l;Parties aériennes;50 cc/hl
157;Iminoctadine Tris;;Fongicide;Melon, pommier et tomate;-2,690;214453,000;105,00;6000,0000;;;;;;;> 2000;1400;;;14 j;E07-2-015;BELLKUTE WP;WP;C;40%;Parties aériennes;50 g/hl
158;Indoxacarbe;Oxadiazine;Insecticide;Betterave à sucre, maraichage, pommier, mais et luzerne;0,130;6450,000;5,00;0,2000;19,5;stable;0,6;0,6;0,11;0,11;> 5000;1750;0,03;;7 j;E02-7-022;AVAUNT 150 EC;EC;C;150 g/l;Parties aériennes;250 cc/ha
159;Iprodione;Dicarboximide;Nématicide;Tomate, pecher, vigne, laitue, haricot vert, prunier et fraisier;0,580;3927,000;26,20;6,8000;84,0;instable;3,1;0,66;1,8;0,66;> 2000;3500;0,06;III;21 j;E11-8-065;DEVGUARD 500 SC;SC;C;500 g/l;Parties aériennes;5 l/ha (x2)
160;Iprovalicarbe;Carbamate;Fongicide;Pomme de terre;2,017;106,000;10,50;17,8000;15,5;stable;22,7;19,8;10;10;> 5000;> 5000;0,015;;7 j;E02-9-006;POSITRON 49 WG;WG;C;84 g/kg;Parties aériennes;175 cc/hl
161;Isazophos;Organothiophosphate;Nématicide;;2,770;155,000;34,00;69,0000;40,0;stable;0,006;0,5;33;0,006;70;20;0,01;1b;;;;;;;;
162;Isoxaflutole;Isoxazole;Herbicide;Maïs;-0,100;79,800;0,90;6,2000;1,3;instable;1,7;1,5;0,12;0,12;> 2000;> 5000;0,02;III;42j;E05-1-001;MERLIN 750 WG;WG;C;750 g/kg;Désherbage;130 g/ha
163;Krésoxim-méthyl;Strobilurine;Fongicide;Fraisier, vigne, arboriculture et tomat;-0,090;308,000;0,87;2,0000;13,5;stable;0,15;0,186;0,024;0,024;> 2000;su 5000;0,4;;35 j;E11-7-006;ALLIAGE;WG;C;500 g/kg;Parties aériennes;20 g/hl
164;Lambda-cyhalothrine;Pyréthrinoïde;Insecticide;Toutes cultures;-3,280;290311,000;175,00;0,0050;23,0;instable;0,00021;0,00036;0,3;0,00021;1293;79;0,02;II;21 j;E11-9-038;AFRATRIN;EC;C;100 g/l;Parties aériennes;50 g/hl
165;Lenacile;Uracile;Herbicide;Betterave à sucre et épinard;2,180;130,000;14,40;2,9000;92,5;stable;10;8,4;0,015;0,015;> 5000;10000;0,14;III;180j;215;VENZAR;WP;C;80%;Désherbage;0,4-0,8 kg/ha
166;Linuron;Urée;Herbicide;Carotte, pomme de terre et asperge;2,210;559,000;57,60;63,8000;47,5;très stable;3,15;0,31;0,016;0,016;> 2000;1500;0,008;III;90 j;D10-3-003;AFALON 50 L;SC;C;450 g/l;Désherbage;1,65 l/ha
167;Lufénuron;Benzoylurée;Insecticide;Agrumes et tomate;-0,810;41182,000;20,80;0,0460;24,5;très stable;29;0,0013;10;0,0013;> 2000;> 2000;0,01;III;18j;E05-8-014;ADRESS RBO3;RB;C;3%;Parties aériennes;20 pièges/ha
168;Malathion;Organophosphoré;Insecticide;Céréales stockées, maraichage, betterave, arboriculture, olivier, légumineuse et agrume;-1,280;217,000;0,17;148,0000;1,0;instable;0,022;0,00072;4,1;0,00072;4100;2800;0,3;III;8j;B01-7-002;MALAPOUDRE;DP;A;500 g/l;"Traitement des
denrées stockées";50 g/q
169;Mandipropamid;;Fongicide;;1,810;847,000;49,10;4,2000;17,0;instable;;;;;;8350;0,85;;;;;;;;;
170;Mancozèbe;Thiocarbamate;Fongicide;Toutes cultures;-1,000;998,000;0,10;6,2000;60,0;instable;0,074;0,073;0,044;0,044;> 10000;> 5000;0,03;III;30 j;E11-6-003;AGREZATE;WP;C;75%;Parties aériennes;200 g/hl
171;Manèbe;Thiocarbamate;Fongicide;Toutes cultures;-0,880;1310,000;0,10;178,0000;7,0;instable;0,16;0,25;0,007;0,007;> 5000;6750;0,03;III;15 j;483;BASANEB;WP;C;80%;Parties aériennes;200 g/hl
172;Mécarbame;;Insecticide, acaricide;;2,770;160,000;35,00;1000,0000;;;;;;;> 1220;53;0,002;1b;42j;;;;;;;
173;Mécoprop ou MCPP;Aryloxyacide;Herbicide;;2,290;31,000;8,20;250000,0000;8,2;stable;240;200;237;200;900;930;0,01;III;;;;;;;;
174;Mécoprop-P ou MCPP-P;Aryloxyacide;Herbicide;;1,600;59,800;5,24;250000,0000;21,0;stable;100;91;16,2;16,2;> 4000;1050;0,01;III;;;;;;;;
175;Mefenpyr-diéthyl (Safener);;Divers;;1,030;605,000;;20,0000;7,0;stable;2,4;5,9;1,65;1,65;> 4000;> 5000;0,5;;;;;;;;;
176;Mercaptodiméthur;;Molluscicide;Toutes cultures;2,138;655,000;24,00;25,5000;;;;;;;135;0,03;;III;30 j;1010;MESUROL 4 GR;GR;A;50%;Parties aériennes;3 kg/ha
177;Mésotrione;Tricétone;Herbicide;;2,690;83,300;19,60;1500,0000;5,0;très stable;120;900;3,5;3,5;> 5000;;0,005;;;;;;;;;
178;Mesosulfuron-methyl -sodium (safener);Sulfonylurée;Herbicide;Céréales: Blés;3,340;92,000;43,50;483,0000;77,3;très stable;100;100;0,2;0,2;;> 5000;1;;90 j;E02-3-003;ATLANTIS;WG;C;(30 + 6 )g/Kg;Désherbage;500 g/ha
179;Metalaxyl=méfenoxam;Amide;Fongicide;Vigne;2,790;162,300;36,00;8400,0000;38,7;très stable;100;100;36;36;> 3100;633;0,03;III;28 j;E11-4-015;CYCLO DROP;WP;C;25%;Parties aériennes;120 g/hl
180;Métaldéhyde;Cyclo-octane;Molluscicide;Toutes cultures;1,500;77,000;5,10;188,0000;4,4;stable;75;78,4;75,9;75;> 5000;283;0,025;II;14 j;E11-8-063;ESCARGOCHE 5;GB;C;5%;Parties aériennes;8 kg/ha
181;Métamitrone;Triazinone;Herbicide;Betterave à sucre;2,825;122,300;480,00;1030,0000;11,1;très stable;190;6,7;0,4;0,4;> 4000;1200;0,03;III;100 j;F06-1-047;CELMITRON 70 WDG;WG;C;70%;Parties aériennes;2 kg/ha
182;Métam-sodium;Thiocarbamate;Nématicide- Désinfectant;Sols nus;-5,500;17,800;0,01;578290,0000;7,0;instable;0,175;0,99;0,556;0,175;1300;820;0,001;II;-;E05-6-005;AFROLAND;CS;C;510 g/l;Traitement des sols;600-1200 l/ha
183;Metconazole;Triazole;Fongicide;Céréales: Blés;1,833;1116,000;42,00;30,0000;133,0;très stable;2,1;4,2;1,7;1,7;> 2000;661;0,002;III;42 j;D12-6-003;CARAMBA 60 SL;SL;C;60 g/l;Parties aériennes;1 l/ha
184;Méthabenzthiazuron;Urée;Herbicide;;2,720;527,000;135,00;60,0000;130,0;très stable;8,4;2,7;0,119;0,119;> 5000;> 5000;0,05;III;90j;;;;;;;
185;Méthamidophos;Organophosphoré;"Insecticide-
Acaricide";Arboriculture et agrume;2,410;1,000;4,00;200000,0000;1,5;instable;25;0,27;178;0,27;122;15,6;0,004;1b;35 j;A11-3-034;TAMARON 400 SL;SL;A;400 g/l;Parties aériennes;150 g/hl
186;Méthidathion;Organophosphoré;Insecticide;Arboriculture et agrume;1,400;400,000;10,00;240,0000;7,0;instable;0,01;0,0064;22;0,0064;200;25;0,001;1b;45 j;B06-6-004;METHIDAXIDE 40;EC;A;420 g/l;Parties aériennes;150 cc/hl
187;Méthiocarb;Carbamate;"Insecticide ; Molluscicide";;0,170;660,000;1,40;27,0000;63,5;instable;0,65;0,0077;2,2;0,0077;> 5000;20;0,02;II;;;;;;;;
188;Méthomyl;Carbamate;Insecticide, acaricide;Arboriculture et maraichage;2,190;25,200;6,97;55000,0000;7,0;stable;0,63;0,017;100;0,017;> 2000;34;0,03;1b;21 j;B02-7-005;JADARME 25 WP;WP;A;200 g/l;Parties aériennes;150 g/hl
189;Métiram de Zinc;Thiocarbamate;Fongicide;Tomate;-0,161;913,000;0,70;2,0000;7,0;instable;0,39;0,11;0,063;0,063;> 2000;> 10000;0,03;III;15 j;D12-2-001;POLYRAM DF;WG;C;80%;Parties aériennes;200 g/hl
190;Métosulam;Triazolopyrimidine;Herbicide;;1,620;166,000;8,10;700,0000;25,0;stable;100;100;0,00079;0,00079;> 2000;> 5000;0,02;III;;;;;;;;
191;Métribuzine;Triazinone;Herbicide;Asperge, pomme de terre, luzerne et tomate ;2,570;37,920;11,50;1165,0000;12,0;très stable;74,6;49;0,02;0,02;> 20000;2000;0,013;III;7 j;E02-7-009;METRIPHAR 70 WG;WG;C;70%;Désherbage;1 Kg/ha
192;Metsulfuron-méthyl;Sulfonylurée;Herbicide;Céréales: Blés;3,990;12,000;23,20;2790,0000;32,0;stable;150;150;0,045;0,045;;> 5000;0,23;;NR;F06-0-008;DEFT;WG;C;20%;Parties aériennes;30 g/ha
193;Milbémectine;Biopesticide;"Insecticide-
Acaricide";Agrumes, melon, fraisier, tomate et arboriculture;0,893;2840,000;2,60;2,6800;8,5;très stable;0,0044;0,011;2;0,0044;> 5000;762;0,03;;14 j;E12-7-009;MILBEKNOCK 1% EC;EC;C;1%;Parties aériennes;50 cc/hl
194;Monocrotophos;Organophosphoré;Insecticide, acaricide;Agrumes et tomate;2,300;19,000;7,00;818000,0000;30,0;très stable;7;0,023;;0,023;250;18;0,0006;1b;7 j;E04-4-001;AGRI-50;EC;C;1%;Parties aériennes;300 cc/hl
195;Monolinuron;Urée;Herbicide;;2,890;200,000;50,00;735,0000;60,0;stable;42;32,5;0,001;0,001;> 2000;2250;0,005;III;60j;;;;;;;
196;Myclobutanil;Triazole;Fongicide;Agrumes: Fruits, fraisier, rosier, pommier, tomate et vigne;3,300;517,000;365,00;132,0000;35,0;instable;2,4;11;1,5;1,5;> 5000;1600;0,03;III;NR;E07-9-023;DECCOTANIL;EC;C;120 g/l;"Traitement de post
récolte";0,4%
197;Novaluron;;Insecticide;Tomate;0,020;9598,000;9,00;0,0030;;;;;;;> 2000;5000;;;3 j;D09-9-001;RIMON 10 EC;EC;C;100 g/l;Parties aériennes;25 cc/hl
